complaint_text,assigned_role
Is the budget meeting held for this semester?,Hostel Legislator
Clean these tanks,Health & Hygiene Secretary
Same case with RR1 and RR2. Probably all other washrooms as well.,Health & Hygiene Secretary
Is lan working ?,Technical Affairs Secretary
Vending machine is not working for more than 1week.Please do something,Health & Hygiene Secretary
lan isn't working,Technical Affairs Secretary
The dryer in the washing machine in RR17 is not working!,Health & Hygiene Secretary
Please let the concerned people know,Health & Hygiene Secretary
The whole machine is not working there's no power,Health & Hygiene Secretary
Monkeys are messing with the solar power plant Someone should close it with the key,General Secretary
Been flowing since 3 days near RR4/cricket ground.,Health & Hygiene Secretary
There is no current in my wing is it the same for everyone!!,General Secretary
Whoever this is this is the second time within 24 hours same RR04 same middle stall same cordinates.,Health & Hygiene Secretary
Stop this and get some fucking help get potty trained ffs.,Health & Hygiene Secretary
Don't shit in the FUCKING BATHROOM.,Health & Hygiene Secretary
Whoever is responsible please go and get some training on shitting.,Health & Hygiene Secretary
If this is repeated again the shower will be locked from using for this whole semester.,Health & Hygiene Secretary
Did someone connect an unconfigured router with the lan ports?,Technical Affairs Secretary
Lans still not working right?,Technical Affairs Secretary
More than half the sem is over and the lan has still not been fixed,Technical Affairs Secretary
again the water purifier near 317 isn’t working can you ask the repair guy to do some permanent solution,Health & Hygiene Secretary
requesting you strict camera surveillance for this matter as I can confirm that till 11PM at night the poop was not there.,Health & Hygiene Secretary
The fact that the incident has happened at night means that it's definitely not a monkey,Health & Hygiene Secretary
We've made numerous toilets for a reason,Health & Hygiene Secretary
RR17 Urinals had been clogged please send someone to fix,Health & Hygiene Secretary
RR4- the water pipe for the washing machine is missing can that be replaced?,Health & Hygiene Secretary
Those who are using RR17 beware of these red worms in the tap water,Health & Hygiene Secretary
I'd suggest to use a filter/cloth till the tanks are cleaned,Health & Hygiene Secretary
it's not just RR17 red worms were found in RR23.,Health & Hygiene Secretary
Found in the RR03's shower too. (PWD washroom),Health & Hygiene Secretary
It's seems to be there in RR04 all Shower stalls too,Health & Hygiene Secretary
Can't take a bath anymore,Health & Hygiene Secretary
Found worms in RR01 tap water just now.,Health & Hygiene Secretary
when will this issue be sorted?,Health & Hygiene Secretary
Can you please look into the underlying cause of this issue or have the tank cleaned routinely,Health & Hygiene Secretary
Is tank cleaning done.??,Health & Hygiene Secretary
Is all restrooms problem are only some,Health & Hygiene Secretary
Btw when will the lan speed be back as before,Technical Affairs Secretary
Half of the semester is over,Technical Affairs Secretary
Its borderline dead now,Technical Affairs Secretary
Can we have one of the secretaries mail whoever is responsible for lan,Technical Affairs Secretary
Coz its not some panels,Technical Affairs Secretary
Its slow for all hostels,Technical Affairs Secretary
But its fast in academic builings,Technical Affairs Secretary
I had my panels replaced work for one day and then back to no lan,Technical Affairs Secretary
it's the network switches they need to be replaced,Technical Affairs Secretary
the people from pg senapathy centre told me when I complained about the speed,Technical Affairs Secretary
So have we received warden permission yet? or whats the plan,Technical Affairs Secretary
Is it even feasible to get good LAN before end of semester or are we just gonna stay in this bureaucratic loop forever,Technical Affairs Secretary
pick your poison 1) Shit in the bathroom 2) Shit in the water 3) Lan is Shit 4) all of the above,General Secretary
Now where is our tech sec who was so sure that the problem is gonna get solved in a week,Technical Affairs Secretary
There seems to be chlorine even in the drinking water.,Health & Hygiene Secretary
Can you please check and fix this issue soon.,Health & Hygiene Secretary
Also no water in rr 06,Health & Hygiene Secretary
Could you pls provide a clear timeframe for the resolution of this issue?,Health & Hygiene Secretary
when will water come back?,Health & Hygiene Secretary
But that's where the red worms are right ?,Health & Hygiene Secretary
Bhai red worms are everywhere,Health & Hygiene Secretary
Atleast give toilet papers in the washrooms cause if a red worm decides to enter it’ll enter anyway,Health & Hygiene Secretary
Is the water clean now? Can we start using the the washrooms?,Health & Hygiene Secretary
Is it done cleaning of drinking water......,Health & Hygiene Secretary
the water from the ro mchine near rr3 ground floor still tastes of chlorine do we have to let the water flush out first?,Health & Hygiene Secretary
Same on 3rd floor,Health & Hygiene Secretary
Can the rr01 and rr02 be used again?,Health & Hygiene Secretary
The water still smells heavily of chlorine and has a slightly yellow colour,Health & Hygiene Secretary
Is there any water cooler that does not have chlorine water ??,Health & Hygiene Secretary
If we still have chlorine content in drinking water then we should suspect the carbon-prefilter condition.,Health & Hygiene Secretary
Could you please check with RO team?,Health & Hygiene Secretary
So is it alright or needs repair..??,Health & Hygiene Secretary
What is the status of this chlorinated drinking water or do we need to develop immunity to that.,Health & Hygiene Secretary
when can we get water normally to drink take a bath and all,Health & Hygiene Secretary
R the ro filters fixed Or we need to manage with can water only,Health & Hygiene Secretary
The water still has that chlorine smell from all the dispensers.,Health & Hygiene Secretary
If someone knows any dispenser which is working fine then please mention it here,Health & Hygiene Secretary
could you please assign the team to check all the dispensers and rectify the chlorination issue if exists.,Health & Hygiene Secretary
So can we expect clean drinking water by tomorrow,Health & Hygiene Secretary
Why is there no water in rr02,Health & Hygiene Secretary
Is drinking water issue sorted?,Health & Hygiene Secretary
Is lan working for anyone?,Technical Affairs Secretary
bro can you look into this I lost my connection around 12:15pm Before that it was working,Technical Affairs Secretary
can we get the back door or Jamuna open?,General Secretary
it was done for the last sem where there was a water shortage please consult for it.,General Secretary
Have you tried draining dispenser??,Health & Hygiene Secretary
Yes slight smell still persists,Health & Hygiene Secretary
What about the bloodworms problem has that been sorted out?,Health & Hygiene Secretary
Cuz it all started from there,Health & Hygiene Secretary
How have you measured the ppm? Cuz just to be sure a tds meter won't work for chlorine detection,Health & Hygiene Secretary
Tds meter is not the way to measure chlorine it's solvent in solvent you need chlorine test strips for it.,Health & Hygiene Secretary
We drained the dispenser 2 times yesterday but the chlorine smell persists in the water we cannot just keep drinking it,Health & Hygiene Secretary
do we have any RO in first floor 😶‍🌫️?,Health & Hygiene Secretary
Well a TDS meter cannot detect chlorine....,Health & Hygiene Secretary
There is no drinking water left,Health & Hygiene Secretary
Bro rainwater ig that's the only option left,Health & Hygiene Secretary
RO membrane need to be replaced,Health & Hygiene Secretary
Emptying and refilling the ro tanka has done nothing you can still taste the chlorine heavily.,Health & Hygiene Secretary
Lan is not working since 10 o clock in my wing.,Technical Affairs Secretary
Please do something,Technical Affairs Secretary
If all these water coolers are serviced recently then why are they not working?,Health & Hygiene Secretary
are you ever gonna do something about the LAN speed?,Technical Affairs Secretary
So we need to work with so slow speed forever?,Technical Affairs Secretary
Also if CCW isn’t doing anything then please ask the warden or involve the HAS,Technical Affairs Secretary
because if CCW have turned a deaf ear then we need to remind them else they will take everything for granted,Technical Affairs Secretary
Is the water from dispensers drinkable now??,Health & Hygiene Secretary
Is LAN working?,Technical Affairs Secretary
Is LAN down,Technical Affairs Secretary
Is LAN working for everyone?,Technical Affairs Secretary
Turned off but fix it asap,Health & Hygiene Secretary
Any updates on when lan will be fixed,Technical Affairs Secretary
Is the lan working,Technical Affairs Secretary
Why do lan have this much problem... Try to fix it permanently.. Plz try to fix it as soon as possible..,Technical Affairs Secretary
Did we try mailing them again? @secs,Technical Affairs Secretary
When lan will be fixed?,Technical Affairs Secretary
Half of the day lan doesn't the other half it is at 400 ping 1mbps,Technical Affairs Secretary
yeah....i wonder why is this happening this sem only....what changed apart from secys,Technical Affairs Secretary
and the imp qn why it's still not resolved...everyone's been complaining since sem start ryt,Technical Affairs Secretary
I mean is there a point asking coz they dont even reply whenever someone says this 🙃,Technical Affairs Secretary
Why isn’t anyone focusing on this issue or everyone is turning a deaf ear to this,Technical Affairs Secretary
if this is not your placement year then it doesn’t mean you will not take care of this issue,Technical Affairs Secretary
we need to study for our exams and all and the speed is so slow that it takes high amount of time just to start some yt video,Technical Affairs Secretary
It would be nice if a timeline is given both for yourself and us.,Technical Affairs Secretary
Shameful network in Alakananda absolute blunder.,Technical Affairs Secretary
Is the LAN down?,Technical Affairs Secretary
Room no 352 window are open monkeys are trying to get in,General Secretary
The plaster on the ceiling is cracking and falling off in large pieces. At the entry of RR-13 Please fix this ASAP,Health & Hygiene Secretary
is there any decoration on the occasion of Diwali?,Social Secretary
Also what about sweet distribution,Social Secretary
why isn't our hostel decorated????,Social Secretary
Wow have you guys already mastered the art of ignoring us in just the first half of your tenure?,General Secretary
Impressive training program really,General Secretary
No updates have been given on lan situation,Technical Affairs Secretary
Ok for decoration it’s a valid point but there have always been an ice cream night and sweet distribution on major festivals so why are you cutting budget on it,Social Secretary
What are we even spending on... Where did the budget go,General Secretary
alright could you show the bills please btw sports and gym equipment,Sports Secretary
Shouldn’t cctv cost be bore by CCW or we need to pay ourself for keeping an eye on us?,General Secretary
Someone shat again,Health & Hygiene Secretary
what happened to the lan work starting after Diwali?,Technical Affairs Secretary
Iitm seems to be slow in the entire campus,Technical Affairs Secretary
Is Lan not working?,Technical Affairs Secretary
Pwd ground floor washroom think about living like a human for once.,Health & Hygiene Secretary
Heater in restroom RR17 is not working currently it's plugged out but even when when plugged to power it is not working kindly help with this,Health & Hygiene Secretary
the water geyser in RR17 has not been functional since the start of the semester please get us in touch with relevant person...,Health & Hygiene Secretary
Not sure whom we should be contacting for the washroom geyser issues.,Health & Hygiene Secretary
water is leaking from rooms 420 and 421. Please resolve it asap,Health & Hygiene Secretary
someone shat again rr4,Health & Hygiene Secretary
Same problem in room 4015 resolve it asap,Health & Hygiene Secretary
lan when?,Technical Affairs Secretary
so probably no lan prblms from day after tomorrow?,Technical Affairs Secretary
First please check if it solved the issue of internet to the corresponding rooms which this provides LAN too,Technical Affairs Secretary
or else we might be overlooking the problem if even this doesn't solve this.,Technical Affairs Secretary
Preferably do this before renewing other panels in hostel.,Technical Affairs Secretary
please look into this before proceeding with the entire setup.,Technical Affairs Secretary
Other hostels also have slow lan i dont think its the panels issue,Technical Affairs Secretary
217 it's not working😅,Technical Affairs Secretary
It's one fourth speed,Technical Affairs Secretary
check for ping as well,Technical Affairs Secretary
Assuming Ethernet/LAN connection so not that big of a deal.,Technical Affairs Secretary
Wifi it would indeed have been crazy,Technical Affairs Secretary
But even lan didnt give less that 55 ms before this,Technical Affairs Secretary
So uts still a massive upgrade,Technical Affairs Secretary
U have check at night between 8 and 1,Technical Affairs Secretary
Night is diabolical,Technical Affairs Secretary
It goes up everyday coz everyone uses,Technical Affairs Secretary
shouldn't go upto 500+ ms right. I mean we are NIRF 1 institute,Technical Affairs Secretary
Normal is around 5 ms if u r checking for a server in chennai,Technical Affairs Secretary
now probably back then it was 500+,Technical Affairs Secretary
I always get 130+,Technical Affairs Secretary
U have to play after 2 30 at night Ull get around 40 That too will spike,Technical Affairs Secretary
Nowadays mobile hotspot gives better ping Downside being that every fker teleports around,Technical Affairs Secretary
Is LAN down now?,Technical Affairs Secretary
There's been no network connection for 3 days straight on the second floor right wing.,Technical Affairs Secretary
How many days is this supposed to continue???,Technical Affairs Secretary
till when do our wing need to suffer from this?,Technical Affairs Secretary
It's not an issue of low internet There's no connection at all.,Technical Affairs Secretary
any update? It's been 5 days now,Technical Affairs Secretary
Since the time you started working on this panel The Lan here in room 348 stopped working which earlier had no issues kindly look into it,Technical Affairs Secretary
by when will second floor panels be replaced any idea?,Technical Affairs Secretary
Oh so what about lan connection on second floor? Because i still get <1mbps,Technical Affairs Secretary
Also can you check network in ookla post 7pm cuz thats when it goes to its lowest,Technical Affairs Secretary
Network should be good when theres a lot of traffic asw,Technical Affairs Secretary
Last sem it was working fine,Technical Affairs Secretary
Exactly there can be a significant dip in just one semester,Technical Affairs Secretary
There's been no network connection for more than 4 days straight on the second floor right wing.,Technical Affairs Secretary
As i can confirm there is no connection showing in room 323 322 321 and 320. Please look into this matter,Technical Affairs Secretary
Is the netaccess site working?,Technical Affairs Secretary
lan is not working.. try to fix it..,Technical Affairs Secretary
The problem is sometimes the internet comes and sometimes it goes... it is very frustrating,Technical Affairs Secretary
The clothes haven’t been removed for more than an hour from rr7. Please take them out quickly,Health & Hygiene Secretary
Can you once again share those guidelines here I am unable to find any,Technical Affairs Secretary
Guys have some sense… few people would have a chance to do laundry only on Sundays,Health & Hygiene Secretary
and one brainless idiot has left his clothes in the washing machine of rr7 since 1pm.,Health & Hygiene Secretary
Have some sense and take your clothes asap,Health & Hygiene Secretary
Hey does anyone know how to resolve this? Can't connect via laptop as well at the moment.,Technical Affairs Secretary
Okay so I diagnosed it and I think that there is simply no connection in the Lan,Technical Affairs Secretary
or there is some loose connection and also it is very very less likely of the port being damaged,Technical Affairs Secretary
as I never faced any issues regarding any kind of fluctuation in the connectivity,Technical Affairs Secretary
so should I mail CCW for that now or will you get it sorted,Technical Affairs Secretary
why is there no water on 2nd floor restrooms?,Health & Hygiene Secretary
Great but please inform this in advance if it was going to happen,Health & Hygiene Secretary
When can we expect this to be finished?,Health & Hygiene Secretary
I think in no washroom water is coming in 1st floor,Health & Hygiene Secretary
I personally think it's not our tanks that have worms inside it or else they won't reappear after this much frequent of a cleaning.,Health & Hygiene Secretary
It might be from a bigger source.,Health & Hygiene Secretary
Please don't start tank cleaning on short notice it's very inconvenient.,Health & Hygiene Secretary
Which washroom is getting water supply??,Health & Hygiene Secretary
Idk if my lan or my lan port isnt working can u check or replace it?,Technical Affairs Secretary
How long before we can access water again?,Health & Hygiene Secretary
it’s since morning till when can we expect water supply to resume,Health & Hygiene Secretary
If it was told beforehand we would’ve made arrangements… we do have works right?,Health & Hygiene Secretary
Is the internet slow?,Technical Affairs Secretary
any response from the manager regarding the geyser???,Health & Hygiene Secretary
the lights are not working in RR4,Health & Hygiene Secretary
Would 10-15 mbps be considered decent for these panels?,Technical Affairs Secretary
Please ask CC if they can switch to using fiber optic cables — the LAN speed drops drastically at night.,Technical Affairs Secretary
With end-sems approaching everyone will be studying late and the fluctuating connection is making it really difficult to study properly.,Technical Affairs Secretary
the washing machine in the ground floor is overflowing please check it,Health & Hygiene Secretary
the water filter is dispensing warm water instead of cold please fix,Health & Hygiene Secretary
Mosquito problem is increasing day by day request you to do something about it,Health & Hygiene Secretary
when will the next litsoc event be conducted?,Literary Secretary
is there any budget allocated for buying new books for the library?,Literary Secretary
the magazine club needs funding for the next issue,Literary Secretary
we need more table tennis racquets in the common room,Sports Secretary
the carrom board net is torn can we get a new one,Sports Secretary
is the schroeter selection trial happening this week?,Sports Secretary
when is the freshers night being organized?,Social Secretary
can we have a dj night for holi?,Social Secretary
we need better speakers for the upcoming cultural event,Social Secretary
the mess food quality has been terrible lately whom should we report to?,Hostel Legislator
is there a GBM scheduled for discussing the new hostel rules?,Hostel Legislator
can we get a transparency report on the recent expenditures?,Hostel Legislator
I request the manager to look into the cycle theft issue,General Secretary
please trim the trees near the extension wing monkeys are jumping in,General Secretary
we need more dustbins on the third floor,Health & Hygiene Secretary
can someone clean the corridors it hasn't been swept in two days,Health & Hygiene Secretary
the RO purifier on the first floor is completely dead,Health & Hygiene Secretary
my room tubelight has stopped working,General Secretary
the ceiling fan in room 210 is making a lot of noise,General Secretary
please install more plug points in the common study room,General Secretary
internet speed is dropping below 1mbps during peak hours,Technical Affairs Secretary
the new access point installed is frequently disconnecting,Technical Affairs Secretary
can we get LAN ports fixed in the old wing?,Technical Affairs Secretary
the ethernet port in my room is physically broken,Technical Affairs Secretary
router configuration guide is not working for me,Technical Affairs Secretary
when will the maintenance guy come for the electrical switchboard?,General Secretary
are we getting new mattresses this semester?,General Secretary
the water cooler near the entrance is giving electric shocks,Health & Hygiene Secretary
please refill the handwash in all ground floor washrooms,Health & Hygiene Secretary
there's a dead rat near the garbage bins please remove it,Health & Hygiene Secretary
stray dogs are entering the hostel premises at night,General Secretary
the security guard is not present at the back gate,General Secretary
when will the mess menu be changed?,Hostel Legislator
can we request a change in the caterer?,Hostel Legislator
the litsoc points haven't been updated on the portal,Literary Secretary
who is coordinating the debate club events from our hostel?,Literary Secretary
we need volunteers for the informals club event,Literary Secretary
the football ground needs to be leveled before the tournament,Sports Secretary
can we get new nets for the volleyball court?,Sports Secretary
the basketball court lights are not working at night,Sports Secretary
the gym timing should be extended till midnight,Sports Secretary
we need a first aid kit in the sports room,Sports Secretary
is the sports budget finalized for this year?,Sports Secretary
when are we getting our inter-hostel jerseys?,Sports Secretary
the table tennis ball is missing again,Sports Secretary
can we get a punching bag installed?,Sports Secretary
the water supply to the washing machines is cut off,Health & Hygiene Secretary
the bathroom doors don't have proper latches,Health & Hygiene Secretary
water is stagnating in the shower area of RR5,Health & Hygiene Secretary
the flush in toilet 3 is broken,Health & Hygiene Secretary
can we have regular pest control every month?,Health & Hygiene Secretary
the common room TV is not turning on,General Secretary
we need a whiteboard in the study room,General Secretary
the chairs in the computer room are broken,General Secretary
can we have a dedicated space for cycle parking?,General Secretary
the hostel back door is locked after 10 PM why?,General Secretary
who holds the keys to the terrace?,General Secretary
the fire extinguishers are past their expiry date,General Secretary
can we get an update on the CCTV installation?,General Secretary
the LAN switch on the 3rd floor is sparking,Technical Affairs Secretary
my IP address is getting blocked repeatedly,Technical Affairs Secretary
can we increase the bandwidth limit per student?,Technical Affairs Secretary
the wifi signal doesn't reach the corner rooms,Technical Affairs Secretary
is there a downtime scheduled for the network maintenance?,Technical Affairs Secretary
the auth portal is down since morning,Technical Affairs Secretary
can we have a tech workshop organized in the hostel?,Technical Affairs Secretary
the printer in the computer room is out of ink,Technical Affairs Secretary
the hostel website needs to be updated with new secy details,Technical Affairs Secretary
when will the intra-hostel gaming tournament happen?,Technical Affairs Secretary
can we arrange for a screening of the ind vs pak match?,Social Secretary
we need funds for the hostel day decorations,Social Secretary
is the photography club covering the upcoming event?,Social Secretary
can we have a music jam session this weekend?,Social Secretary
the social budget seems to be underutilized this year,Social Secretary
who is handling the permissions for the bonfire?,Social Secretary
can we have an open mic night in the quadrangle?,Social Secretary
the alumni meet coordination is pending,Social Secretary
we need to decide the theme for the hostel t-shirt,Social Secretary
can we have a farewell party for the graduating seniors?,Social Secretary
the hostel council meeting minutes have not been shared,Hostel Legislator
we need a grievance redressal form setup online,Hostel Legislator
can we amend the rule regarding visiting hours?,Hostel Legislator
the mess fee deduction is not reflecting in the portal,Hostel Legislator
who is our representative for the student legislative council?,Hostel Legislator
we need a poll for deciding the next GBM agenda,Hostel Legislator
the hostel constitution needs to be updated,Hostel Legislator
can we get clarity on the fine imposed last week?,Hostel Legislator
we need a better system for tracking maintenance requests,Hostel Legislator
the room allocation process for next year is confusing,Hostel Legislator
LAN is continuously down on the 4th floor,Technical Affairs Secretary
Need urgent pest control for RR02,Health & Hygiene Secretary
When will the sports room open?,Sports Secretary
I lost my cycles who should I contact,General Secretary
No electricity in my room,General Secretary
Are there any updates on the GBM date?,Hostel Legislator
Worms found in water near my room again,Health & Hygiene Secretary
Washrooms have been dirty for 3 days,Health & Hygiene Secretary
Is anyone coming to fix the geyser?,Health & Hygiene Secretary
Can we extend library hours during exams?,Literary Secretary
Wifi keeps disconnecting every 5 minutes,Technical Affairs Secretary
Ping is over 2000 in games,Technical Affairs Secretary
Can we organize a Diwali dinner?,Social Secretary
We need freshers introduction soon,Social Secretary
Is the budget constraint resolved?,Hostel Legislator
